Location ID,AWC Name,AWC_ID,AWC Distance,Births,PHC Full Name,PHC_ID,PHC Distance,AWC PHC Distance Ratio,Normalized Distance Ratio,P_PHC,Vaccination Seeking Probability
0,Zhamshedpoor,1506072,1.6081480552691487,3.68407178,"Primary Health Centre, Patloor, Marpally",7,7.3722489584995845,0.21813534300345203,-4.458016422202273,0.011452638405118015,0.6391851944730852
1,Komshetpally - II,1506105,3.1565970780615715,3.77468276,"Primary Health Centre, Patloor, Marpally",7,6.484006621516807,0.4868281700371162,-0.20832776592388125,0.44810560959054585,0.4843402921938429
2,Mogiligundkla,1506078,1.0863327012007624,4.29055357,"Primary Health Centre, Patloor, Marpally",7,7.261669963408752,0.1495981925197299,-5.54201093802099,0.003903342978932308,0.6913667298799238
3,Komshetpally - I,1506077,1.6855798495003629,4.28048277,"Primary Health Centre, Patloor, Marpally",7,7.716869463291122,0.21842793344096428,-4.45338876512278,0.011505148934919994,0.6314420150499638
4,Komshetpally - I,1506077,1.9791940810633943,4.23012447,"Primary Health Centre, Patloor, Marpally",7,8.241875534513406,0.24013879762869342,-4.110006270416163,0.016142805786301617,0.6020805918936606
5,Zhamshedpoor,1506072,0.6933318241468296,3.62047434,"Primary Health Centre, Patloor, Marpally",7,6.5829973814569565,0.10532160108400053,-6.242296578096963,0.0019416054997757654,0.730666817585317
6,Ghanapoor,1506071,2.26267498914788,4.02201366,"Primary Health Centre, Patloor, Marpally",7,5.570239962938295,0.4062078122670898,-1.4834322175863046,0.18490956273447667,0.573732501085212
7,Komshetpally - II,1506105,1.7026679154933624,3.03904533,"Primary Health Centre, Patloor, Marpally",7,6.038146545112124,0.2819851924381781,-3.4481570082260204,0.030823868865732983,0.6297332084506638
8,Komshetpally - I,1506077,1.0369419247133207,4.24764776,"Primary Health Centre, Patloor, Marpally",7,6.458914439565238,0.16054430421950586,-5.36888548754119,0.004637712695727882,0.696305807528668
9,Mallikarjunagiri,1506109,3.601670220539356,3.7869822999999996,"Primary Health Centre, Patloor, Marpally",7,9.560981414893003,0.37670507495486666,-1.9500522218084773,0.12454766404250786,0.4398329779460644
10,Zhamshedpoor,1506072,0.7591689020035717,4.04380369,"Primary Health Centre, Patloor, Marpally",7,6.4235884301408825,0.11818454906627969,-6.038854138899499,0.002378618099469391,0.7240831097996429
11,Zhamshedpoor,1506072,1.0810597930814752,4.18983889,"Primary Health Centre, Patloor, Marpally",7,5.3268938834650985,0.2029437448410846,-4.698289164478583,0.009028592780133998,0.6918940206918525
